poi_id,poi_name,poi_parent,distance,poi_recommend_food,poi_big_category,poi_mid_category,poi_sub_category,poi_typecode,poi_biz_type,poi_address,poi_longitude,poi_latitude,poi_tel,poi_adcode,poi_adname,poi_gridcode,poi_cpid,poi_floor,poi_business_area,poi_rating,poi_cost
B0FFHG04V0,悠仙美地(大厂老盐十车站店),B00190531B,"地锅小杂鱼,西红柿蛋汤,紫菜蛋汤,激情椒麻鱼,爆炒蒜黄肉丝盖浇面,干锅花菜,干锅牛蛙,干锅大虾,川味毛血旺,金丝榴莲酥,黄糖糍粑,风味豇豆角,特色奥尔良翅霸,榄菜虾仁炒饭,扬州炒饭,浓汤酸菜鱼,农家老丝瓜,酸辣土豆丝,酸辣炒鸡杂,爆炒腰花,醮酱黄瓜,咸货一锅端,西芹炒牛蛙,香汁铁板猪仔骨,创新小炒肉",餐饮服务,快餐厅,快餐厅,050300,diner,新华路528号金年华广场F3层,118.764590,32.231768,,320116,六合区,4818267120,B00190531B,3,,3.0,51.00
B0FFF4SYBT,阿徐农家菜馆,,"爽口海带花,花生壳,自制泡菜,十三香龙虾,海带花,蜜汁藕,果盘,点心,阳春面,铁板蒜蓉虾,酸汤肥牛,藕带炒肚片,蒜泥龙虾,盐水鹅,玉米元宵,特色烤鱼,牛筋鳝段,泡椒凤爪,椒盐大虾,文蛤蒸蛋,干锅千叶豆腐,川味牛肚,地锅鸡,农家老鸡汤,农家扣肉",餐饮服务,中餐厅,中餐厅,050100,diner,杨庄北村29幢,118.739513,32.212689,13814193306;13814193308,320116,六合区,4818255910,,,,3.5,36.00
B0FFJO291B,老乡鸡(大厂草芳路店),,"三河米饺,肥西老母鸡汤,五芳斋鲜肉粽,扬州煮干丝,五芳斋蜜枣粽,三丝春卷,西红柿炒鸡蛋,摩登罐装雪碧,康普茶,养味香蕉味牛奶饮品,多喝沙棘汁,农夫山泉矿泉水,NFC橙汁,农家小炒肉,摩登罐装芬达,鲜肉粽,菌菇豆腐丸,水煮肉片,蜜枣粽,小米南瓜粥蒸饺餐,小米南瓜粥,麻婆豆腐,皮蛋瘦肉粥糍糕餐,皮蛋瘦肉粥,红烧牛肉",餐饮服务,中餐厅,中餐厅,050100,diner,江北新区大厂街道健民路旭东新城B栋B22号现门牌号583号,118.747155,32.229491,025-57678817,320116,六合区,4818257912,,,,4.7,24.00
B001906XNA,龙袍人家老店(龙江路店),,"蟹黄汤包,猪头肉,活珠子,农家藕饼,蟹黄焗锅巴,六合头道菜,龙袍汤包,蟹黄豆腐,蟹黄干丝,农家子面拖蟹,藕圆,盐水鹅,牛肉圆炖臭豆腐,螃蟹,老母鸡汤,六合牛脯,油炸青菜,鱼杂,蟹黄头道菜,扣肉,砂锅蛋饺,青菜豆腐汤,六合牛腩,水芹白干,龙袍小炒",餐饮服务,中餐厅,中餐厅,050100,diner,龙袍镇中心转盘龙江路1号,118.953148,32.197143,025-57610086;025-57610181,320116,六合区,4818273610,,,,4.0,88.00
B0FFIN72J2,老乡鸡(大厂新华路店),B0FFF2KLEN,"肥西老母鸡汤,黄豆煨猪手,农家蒸蛋,鸡汁百叶包,鸡汤面,酸菜鱼,鸡汁娃娃菜,葱油菜台,葱油鸡,豆粥油条餐,鸡汁辣鱼,竹笋蒸鸡翅,香肠蒸豆米,西红柿炒鸡蛋,黑米粥米饺餐,黑米粥蒸饺餐,板栗排骨,麻辣鸡块,鸡汁汤包,特色鸡汤馄饨,菌菇豆腐丸,葱油生菜,狮子头,豆浆小鸡包餐,豆角焖肉",餐饮服务,快餐厅,快餐厅,050300,diner,大厂新华路138号1021-2,118.746934,32.222238,025-66696017,320116,六合区,4818256922,,,,3.5,23.00
B0FFLDZNA9,老乡鸡,,"肥西老母鸡汤,农家蒸蛋,腊肉蒸白干,农家小炒肉,杂粮粥汤包餐,金汤酸菜鱼,咸鸭蛋,豆粥油条餐,香辣鸡杂,黄豆煨猪手,葱油菜苔,西红柿炒鸡蛋,NFC橙汁,多喝沙棘汁,摩登罐装芬达,养味香蕉味牛奶饮品,摩登罐装雪碧,农夫山泉矿泉水,康普茶,小米南瓜粥蒸饺餐,皮蛋瘦肉粥糍糕餐,小米南瓜粥,皮蛋瘦肉粥,雪菜山笋,豆粥汤包餐",餐饮服务,快餐厅,快餐厅,050300,diner,通池路127号,118.810841,32.329631,,320116,六合区,4818369412,,,龙池,3.5,
B0FFKPNHRF,老乡鸡(南京泓源广场店),B0FFG4GU2B,"农家小炒肉,鸡汤娃娃菜,葱油菜苔,水煮肉片,农家蒸蛋,麻辣鸡块,豆粥油条餐,菌菇豆腐丸,金汤酸菜鱼,干豆角烧肉,宫保鸡丁,养味草莓味牛奶饮品,五芳斋鲜肉粽,五芳斋蜜枣粽,三丝春卷,面筋塞肉,扬州煮干丝,NFC橙汁,摩登罐装雪碧,摩登罐装芬达,养味香蕉味牛奶饮品,康普茶,多喝沙棘汁,农夫山泉矿泉水,西红柿炒鸡蛋",餐饮服务,快餐厅,快餐厅,050300,diner,雄州街道长江路10号弘源广场M01,118.842147,32.342807,025-57115817,320116,六合区,4818461701,,,,4.8,25.00
B0FFKSZO70,饺饺鲜驴肉小酒馆,,"芒果汁,韭菜鸡蛋蒸饺,驴肉粉丝汤,红烧驴肚面,红烧驴肠面,红烧驴肉面,玉米凉面,凉拌驴,蒜蓉龙虾,干切驴,虾仁水饺,牛肉水饺,三鲜水饺,芹菜水饺,鲜肉水饺,韭菜猪肉水饺,麻辣豆腐,香菇青菜,苦瓜涨蛋,芹菜肉丝干子,土豆烧驴肉,驴肉锅仔,正宗东北凉拌菜,凉拌黄瓜,花生米",餐饮服务,中餐厅,中餐厅,050100,diner,江北新区大厂街道毕洼路200号,118.758995,32.225738,13675111854,320116,六合区,4818267002,,,,,
B001914ZX9,止马岭农家菜馆,,"鹅四件,油渣青菜,红烧黑猪肉,仇家特色老鹅,活珠子,榨菜肉丝白菜汤,炒土鸡蛋,白灼湖虾,止马岭老母鸡汤,肥肠臭豆腐,韭菜鸡蛋,牛肉,春卷,香椿头涨蛋",餐饮服务,中餐厅,中餐厅,050100,diner,心泉路与701县道交叉口东南50米,118.652820,32.541361,025-57580335,320116,六合区,4818654220,,,,3.5,48.00
B0FFIDRH73,意瑕饭店,,,餐饮服务,中餐厅,中餐厅,050100,diner,九银村镇银行金牛湖支行南,118.938107,32.426654,15895856778,320116,六合区,4818571500,,,,,
